timestamp_utc,host,dns,tcp443,tls,http_code,note
2026-09-06T07:23:13Z,cz.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to cz.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,de.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to de.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,dk.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to dk.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,ee.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to ee.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,es.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to es.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,fi.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to fi.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,fr.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to fr.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,gr.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to gr.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,hr.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to hr.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,hu.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to hu.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,ie.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to ie.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,it.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to it.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,lt.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to lt.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,lu.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to lu.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,lv.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to lv.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,mt.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mt.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,nl.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to nl.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,pl.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to pl.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,pt.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to pt.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,ro.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to ro.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,se.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to se.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,si.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to si.cra-srp.enisa.europa.eu:443  
2026-09-06T07:23:13Z,sk.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to sk.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,portal.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to portal.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,auth.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to auth.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,at.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to at.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,be.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to be.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,bg.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to bg.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,cy.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to cy.cra-srp.enisa.europa.eu:443  
2026-09-06T08:23:27Z,cz.cra-srp.enisa.europa.eu,ok,unreliable,unreliable,000,PROVISIONED curl exit 35: curl: (35) OpenSSL SSL_connect: SSL_ERROR_SYSCALL in connection to cz.cra-srp.enisa.europa.eu:443  
